Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
128,11,71.2738,-79.1069,PEFA,25-Jun-20,1,unk,unk,unk,unk,"Female incubating, did not flush, waypoint taken",PEFA,18-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,1,n,unk,unk,3,NA
129,12,71.2723,-79.0988,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
135,26,71.2271,-79.0682,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,4,0,unk,Flushed,RLHA,11-Aug-20,0,n,4,unk,3,NA
138,14,71.2597,-79.0468,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,0,2,unk,Female flushed,RLHA,11-Aug-20,0,n,unk,2,2,NA
139,25,71.2376,-79.0316,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
141,15,71.2547,-79.0186,PEFA,25-Jun-20,2,unk,unk,unk,unk,NA,PEFA,18-Jul-20,1,y,4,0,unk,Flushed,PEFA,11-Aug-20,1,n,4,unk,4,NA
143,16,71.2552,-79.0151,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
145,24,71.2432,-78.9911,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
148,23,71.2451,-78.9201,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,0,2,unk,Flushed,RLHA,11-Aug-20,0,n,unk,unk,3,NA
150,22,71.2444,-78.9136,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
160,17,71.2483,-78.8876,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
164,21,71.2270,-78.8723,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,no birds,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
165,20,71.2268,-78.8720,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,n,0,0,0,Female flushed from old nest,PEFA,11-Aug-20,0,n,unk,unk,3,NA
173,19,71.2203,-78.8383,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
338,34,71.2181,-79.7897,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
339,112,71.3612,-79.6450,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
355,97,71.4038,-80.1698,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
356,116,71.4708,-80.2779,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
357,150,71.8392,-80.8400,PEFA,28-Jun-20,1,unk,unk,unk,unk,"Parent remained on nest, waypoint taken",PEFA,20-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,2,NA
359,102,71.4306,-80.0472,RLHA,26-Jun-20,2,y,4,0,0,"Both parents flushed, waypoint taken",RLHA,18-Jul-20,1,y,1,4,unk,Didn't flush,RLHA,11-Aug-20,1,n,4,4,4,NA
360,173,71.7598,-80.4008,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
374,119,71.5142,-80.3067,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
375,100,71.4607,-80.1918,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
376,142,71.5028,-80.1798,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
377,50,71.3801,-79.4524,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
378,99,71.4543,-80.2251,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
379,95,71.4002,-80.1513,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,0,unk,unk,Flushed,RLHA,11-Aug-20,1,n,unk,unk,3,NA
380,103,71.4306,-80.0400,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
382,141,71.6283,-80.2852,RLHA,28-Jun-20,1,y,2,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,2,0,unk,Parents flushed,RLHA,14-Aug-20,1,n,2,2,2,NA
383,126,71.6540,-80.4598,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,0,n,0,0,0,No birds seen,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
384,129,71.7214,-80.7419,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
385,88,71.3612,-80.2365,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
386,136,71.7172,-80.2554,RLHA,27-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,0,2,unk,Parent flushed,RLHA,14-Aug-20,1,n,4,unk,3,NA
387,161,71.9265,-80.7551,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,20-Jul-20,1,n,0,0,0,"1 PEFA on cliff, no nests sighted",not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
388,162,71.9083,-80.8245,PEFA,28-Jun-20,1,unk,unk,unk,unk,"Female incubating, did not flush, waypoint taken",PEFA,20-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,4,4,4,NA
389,74,71.3553,-79.3048,RLHA,27-Jun-20,1,y,5,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,0,y,4,1,unk,No parents,RLHA,14-Aug-20,0,n,4,4,4,NA
390,169,71.8131,-80.4997,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
391,158,71.9302,-80.8486,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,0,2,unk,No parents present,RLHA,14-Aug-20,1,n,unk,unk,3,NA
392,159,71.9708,-80.8200,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
393,160,71.9339,-80.7304,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
400,145,71.8065,-80.7042,PEFA,28-Jun-20,2,y,4,0,0,"Parents flushed, waypoint taken",PEFA,20-Jul-20,1,y,1,3,unk,Parent flushed,PEFA,14-Aug-20,0,n,unk,unk,1,NA
401,163,71.8751,-80.8619,RLHA,28-Jun-20,2,unk,unk,unk,unk,"Male flushed, female incubating, waypoint taken",RLHA,20-Jul-20,1,y,0,3,unk,Parent flushed,RLHA,14-Aug-20,1,n,4,4,4,NA
438,144,71.7809,-80.6121,RLHA,28-Jun-20,2,y,4,0,0,"No SNOW present, RLHA on cliff face above",RLHA,20-Jul-20,1,y,2,2,unk,Parent flushed,RLHA,14-Aug-20,1,n,4,unk,2,NA
442,81,71.3446,-79.7615,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,n,0,0,0,Male flushed,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
443,84,71.3538,-79.8530,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,2,y,0,4,unk,Flushed,RLHA,11-Aug-20,1,n,unk,4,4,NA
444,92,71.3810,-80.2278,not detected,NA,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
445,98,71.4170,-80.3405,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
446,115,71.4672,-80.2813,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
447,89,71.3688,-80.1314,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,n,0,0,0,"Flew over hill at far end of canyon, no nest located",not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
448,121,71.5149,-80.3461,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,2,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,1,n,4,4,4,flushed male from 100m away
449,123,71.5976,-80.3842,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,19-Jul-20,1,y,0,3,unk,"Female incubating, did not flush",RLHA,14-Aug-20,1,n,4,unk,3,NA
450,146,71.8069,-80.7090,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
451,148,71.8227,-80.8751,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
452,157,71.8524,-81.0287,RLHA,28-Jun-20,1,y,5,0,0,"Parent didn't flush, waypoint taken",RLHA,20-Jul-20,1,y,0,4,unk,Parent flushed,RLHA,14-Aug-20,0,n,4,4,4,NA
453,13,71.2724,-79.0907,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
454,140,71.6801,-80.2282,RLHA,28-Jun-20,2,y,5,0,0,"Parents flushed, waypoint taken",RLHA,19-Jul-20,1,y,0,3,unk,Parent flushed,RLHA,14-Aug-20,0,n,5,unk,4,NA
455,172,71.7833,-80.2546,RLHA,28-Jun-20,1,y,5,0,0,"Parent flushed, waypoint taken",RLHA,20-Jul-20,0,y,1,2,unk,No parents present,RLHA,14-Aug-20,0,N,unk,unk,4,NA
460,104,71.4334,-80.0222,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
461,105,71.4400,-79.9280,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
462,57,71.4489,-79.8944,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
463,108,71.4125,-79.8853,RLHA,26-Jun-20,1,y,6,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,2,y,4,1,unk,"Female flushed, male airborne",RLHA,11-Aug-20,1,n,4,4,4,NA
464,109,71.4097,-79.8855,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,y,4,0,0,Flushed,PEFA,11-Aug-20,1,n,4,4,4,NA
465,56,71.4478,-79.7967,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,1,y,4,0,unk,Parents flushed,PEFA,14-Aug-20,0,n,4,4,4,NA
466,60,71.4669,-79.8101,RLHA,27-Jun-20,1,y,5,0,0,Waypoint taken,RLHA,19-Jul-20,1,y,4,0,unk,Parent flushed,RLHA,14-Aug-20,0,n,4,4,4,NA
467,63,71.4634,-79.7131,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
468,49,71.3662,-79.4955,RLHA,27-Jun-20,2,y,5,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,1,3,unk,Parents flushed,RLHA,14-Aug-20,0,n,5,unk,3,NA
469,67,71.4460,-79.5481,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
470,70,71.4396,-79.4363,PEFA,27-Jun-20,1,unk,unk,unk,unk,"In very old stick nest, waypoint taken",PEFA,19-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,4,4,4,NA
472,52,71.3823,-79.4528,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,19-Jul-20,1,y,0,3,unk,Parents circling,RLHA,14-Aug-20,1,n,unk,unk,4,NA
473,51,71.3820,-79.4493,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
474,72,71.4332,-79.2549,PEFA,27-Jun-20,1,unk,unk,unk,unk,Waypoint taken,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
475,134,71.7343,-80.3130,PEFA,27-Jun-20,1,unk,unk,unk,unk,Waypoint taken,PEFA,19-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,1,n,unk,unk,2,NA
476,6,71.3004,-79.1152,PEFA,25-Jun-20,1,y,unk,unk,unk,"Female incubating, did not flush, waypoint taken",PEFA,18-Jul-20,2,y,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,0,n,unk,unk,3,NA
477,59,71.4600,-79.8083,RLHA,27-Jun-20,1,y,5,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,0,3,unk,Parents flushed,RLHA,14-Aug-20,0,n,5,unk,4,NA
478,2,71.3100,-79.2273,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,0,n,unk,unk,2,NA
480,101,71.4599,-80.0933,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
481,132,71.7383,-80.3351,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
482,152,71.8430,-80.8613,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
483,120,71.5163,-80.3323,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
484,125,71.6534,-80.4201,RLHA,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,19-Jul-20,1,y,2,2,NA,Female flushed,RLHA,14-Aug-20,1,n,unk,unk,3,NA
485,47,71.3413,-79.4336,RLHA,27-Jun-20,1,y,3,0,0,Waypoint taken,RLHA,19-Jul-20,1,y,0,2,unk,Female flushed,RLHA,14-Aug-20,0,y,3,2,2,one addled egg
486,156,71.8225,-81.1747,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
487,18,71.2466,-78.8573,PEFA,25-Jun-20,1,unk,unk,unk,unk,"SNBU, female falcon on nest, didn't flush, waypoint taken",PEFA,18-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,1,n,unk,unk,3,NA
488,83,71.3583,-79.7789,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
489,128,71.7139,-80.6963,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,1,y,3,0,unk,Female flushed,PEFA,14-Aug-20,0,n,3,3,3,NA
490,93,71.3860,-80.2280,not detected,NA,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,2,unk,unk,unk,unk,New point,PEFA,11-Aug-20,0,n,unk,unk,3,NA
491,155,71.8052,-81.1074,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,20-Jul-20,2,unk,0,0,unk,"Female incubating, didn't flush. Male flying",PEFA,14-Aug-20,1,n,4,4,4,NA
492,65,71.4551,-79.6043,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,19-Jul-20,2,y,unk,unk,2,Parents flushed,RLHA,14-Aug-20,1,n,unk,unk,3,NA
493,77,71.3259,-79.5365,not detected,26-Jun-20,0,unk,unk,unk,unk,not detected,not detected,18-Jul-20,0,unk,unk,unk,unk,not detected,not detected,11-Aug-20,0,unk,unk,unk,unk,not detected
RLHA C 2020,175,71.367067,-79.366506,RLHA,15-Jul-20,NA,NA,NA,NA,NA,visited while on transect,RLHA,21-Jul-20,1,y,4,unk,2,one adult flushed from nest,RLHA,14-Aug-20,0,n,unk,unk,3,NA