"","SiteID","year","Lat","Long","pefa","rlha"
"1",2,"12",71.8531,-80.9321,0,0
"2",2,"13",71.8531,-80.9321,1,0
"3",2,"14",71.8531,-80.9321,1,0
"4",2,"15",71.8531,-80.9321,0,0
"5",2,"16",71.8531,-80.9321,1,0
"6",2,"17",71.8531,-80.9321,1,0
"7",2,"18",71.8531,-80.9321,1,0
"8",2,"19",71.8531,-80.9321,1,0
"9",2,"20",71.8531,-80.9321,0,1
"10",3,"12",71.8544,-80.9028,0,1
"11",3,"13",71.8544,-80.9028,0,0
"12",3,"14",71.8544,-80.9028,0,1
"13",3,"15",71.8544,-80.9028,0,1
"14",3,"16",71.8544,-80.9028,0,0
"15",3,"17",71.8544,-80.9028,0,0
"16",3,"18",71.8544,-80.9028,0,0
"17",3,"19",71.8544,-80.9028,0,1
"18",3,"20",71.8544,-80.9028,0,0
"19",5,"12",71.8412,-80.8536,-Inf,-Inf
"20",5,"13",71.8412,-80.8536,-Inf,-Inf
"21",5,"14",71.8412,-80.8536,-Inf,-Inf
"22",5,"15",71.8412,-80.8536,-Inf,-Inf
"23",5,"16",71.8412,-80.8536,-Inf,-Inf
"24",5,"17",71.8412,-80.8536,-Inf,-Inf
"25",5,"18",71.8412,-80.8536,-Inf,-Inf
"26",5,"19",71.8412,-80.8536,-Inf,-Inf
"27",5,"20",71.8412,-80.8536,0,0
"28",6,"12",71.8368,-80.8319,0,1
"29",6,"13",71.8368,-80.8319,0,0
"30",6,"14",71.8368,-80.8319,1,0
"31",6,"15",71.8368,-80.8319,0,1
"32",6,"16",71.8368,-80.8319,1,0
"33",6,"17",71.8368,-80.8319,0,0
"34",6,"18",71.8368,-80.8319,1,0
"35",6,"19",71.8368,-80.8319,0,0
"36",6,"20",71.8368,-80.8319,0,1
"37",7,"12",71.8033,-80.7595,1,0
"38",7,"13",71.8033,-80.7595,-Inf,-Inf
"39",7,"14",71.8033,-80.7595,1,0
"40",7,"15",71.8033,-80.7595,0,0
"41",7,"16",71.8033,-80.7595,0,0
"42",7,"17",71.8033,-80.7595,0,0
"43",7,"18",71.8033,-80.7595,0,0
"44",7,"19",71.8033,-80.7595,0,0
"45",7,"20",71.8033,-80.7595,0,1
"46",8,"12",71.8702,-80.7133,0,0
"47",8,"13",71.8702,-80.7133,-Inf,-Inf
"48",8,"14",71.8702,-80.7133,0,0
"49",8,"15",71.8702,-80.7133,1,0
"50",8,"16",71.8702,-80.7133,1,0
"51",8,"17",71.8702,-80.7133,1,0
"52",8,"18",71.8702,-80.7133,0,0
"53",8,"19",71.8702,-80.7133,0,0
"54",8,"20",71.8702,-80.7133,0,0
"55",9,"12",71.8701,-80.7112,1,0
"56",9,"13",71.8701,-80.7112,-Inf,-Inf
"57",9,"14",71.8701,-80.7112,1,0
"58",9,"15",71.8701,-80.7112,0,0
"59",9,"16",71.8701,-80.7112,0,0
"60",9,"17",71.8701,-80.7112,0,0
"61",9,"18",71.8701,-80.7112,1,0
"62",9,"19",71.8701,-80.7112,1,0
"63",9,"20",71.8701,-80.7112,0,0
"64",10,"12",71.8634,-80.696,0,1
"65",10,"13",71.8634,-80.696,-Inf,-Inf
"66",10,"14",71.8634,-80.696,0,1
"67",10,"15",71.8634,-80.696,0,1
"68",10,"16",71.8634,-80.696,0,0
"69",10,"17",71.8634,-80.696,0,1
"70",10,"18",71.8634,-80.696,0,1
"71",10,"19",71.8634,-80.696,0,1
"72",10,"20",71.8634,-80.696,0,1
"73",14,"12",71.7708,-80.5799,0,1
"74",14,"13",71.7708,-80.5799,1,0
"75",14,"14",71.7708,-80.5799,1,0
"76",14,"15",71.7708,-80.5799,0,1
"77",14,"16",71.7708,-80.5799,0,0
"78",14,"17",71.7708,-80.5799,0,0
"79",14,"18",71.7708,-80.5799,0,0
"80",14,"19",71.7708,-80.5799,1,0
"81",14,"20",71.7708,-80.5799,0,0
"82",15,"12",71.7449,-80.5305,1,0
"83",15,"13",71.7449,-80.5305,1,0
"84",15,"14",71.7449,-80.5305,1,0
"85",15,"15",71.7449,-80.5305,1,0
"86",15,"16",71.7449,-80.5305,1,0
"87",15,"17",71.7449,-80.5305,1,0
"88",15,"18",71.7449,-80.5305,0,0
"89",15,"19",71.7449,-80.5305,0,0
"90",15,"20",71.7449,-80.5305,1,0
"91",16,"12",71.8196,-80.5177,0,1
"92",16,"13",71.8196,-80.5177,-Inf,-Inf
"93",16,"14",71.8196,-80.5177,0,0
"94",16,"15",71.8196,-80.5177,0,0
"95",16,"16",71.8196,-80.5177,0,0
"96",16,"17",71.8196,-80.5177,0,0
"97",16,"18",71.8196,-80.5177,0,0
"98",16,"19",71.8196,-80.5177,0,0
"99",16,"20",71.8196,-80.5177,0,0
"100",17,"12",71.8139,-80.5009,0,0
"101",17,"13",71.8139,-80.5009,-Inf,-Inf
"102",17,"14",71.8139,-80.5009,0,1
"103",17,"15",71.8139,-80.5009,1,0
"104",17,"16",71.8139,-80.5009,0,0
"105",17,"17",71.8139,-80.5009,1,0
"106",17,"18",71.8139,-80.5009,1,0
"107",17,"19",71.8139,-80.5009,0,0
"108",17,"20",71.8139,-80.5009,1,0
"109",18,"12",71.7948,-80.4523,0,1
"110",18,"13",71.7948,-80.4523,-Inf,-Inf
"111",18,"14",71.7948,-80.4523,0,1
"112",18,"15",71.7948,-80.4523,1,0
"113",18,"16",71.7948,-80.4523,1,0
"114",18,"17",71.7948,-80.4523,0,0
"115",18,"18",71.7948,-80.4523,0,0
"116",18,"19",71.7948,-80.4523,0,0
"117",18,"20",71.7948,-80.4523,0,0
"118",19,"12",71.779,-80.4441,0,1
"119",19,"13",71.779,-80.4441,-Inf,-Inf
"120",19,"14",71.779,-80.4441,1,0
"121",19,"15",71.779,-80.4441,1,0
"122",19,"16",71.779,-80.4441,0,0
"123",19,"17",71.779,-80.4441,1,0
"124",19,"18",71.779,-80.4441,0,0
"125",19,"19",71.779,-80.4441,1,0
"126",19,"20",71.779,-80.4441,0,1
"127",20,"12",71.6842,-80.4395,1,0
"128",20,"13",71.6842,-80.4395,1,0
"129",20,"14",71.6842,-80.4395,1,0
"130",20,"15",71.6842,-80.4395,1,0
"131",20,"16",71.6842,-80.4395,1,0
"132",20,"17",71.6842,-80.4395,1,0
"133",20,"18",71.6842,-80.4395,1,0
"134",20,"19",71.6842,-80.4395,1,0
"135",20,"20",71.6842,-80.4395,1,0
"136",21,"12",71.7585,-80.3982,0,1
"137",21,"13",71.7585,-80.3982,-Inf,-Inf
"138",21,"14",71.7585,-80.3982,0,0
"139",21,"15",71.7585,-80.3982,0,0
"140",21,"16",71.7585,-80.3982,0,0
"141",21,"17",71.7585,-80.3982,0,0
"142",21,"18",71.7585,-80.3982,0,1
"143",21,"19",71.7585,-80.3982,0,0
"144",21,"20",71.7585,-80.3982,0,1
"145",22,"12",71.6184,-80.3961,1,0
"146",22,"13",71.6184,-80.3961,1,0
"147",22,"14",71.6184,-80.3961,1,0
"148",22,"15",71.6184,-80.3961,1,0
"149",22,"16",71.6184,-80.3961,1,0
"150",22,"17",71.6184,-80.3961,1,0
"151",22,"18",71.6184,-80.3961,1,0
"152",22,"19",71.6184,-80.3961,1,0
"153",22,"20",71.6184,-80.3961,1,0
"154",23,"12",71.7359,-80.3569,-Inf,-Inf
"155",23,"13",71.7359,-80.3569,-Inf,-Inf
"156",23,"14",71.7359,-80.3569,-Inf,-Inf
"157",23,"15",71.7359,-80.3569,-Inf,-Inf
"158",23,"16",71.7359,-80.3569,-Inf,-Inf
"159",23,"17",71.7359,-80.3569,-Inf,-Inf
"160",23,"18",71.7359,-80.3569,-Inf,-Inf
"161",23,"19",71.7359,-80.3569,-Inf,-Inf
"162",23,"20",71.7359,-80.3569,0,0
"163",24,"12",71.5549,-80.3386,1,0
"164",24,"13",71.5549,-80.3386,1,0
"165",24,"14",71.5549,-80.3386,1,0
"166",24,"15",71.5549,-80.3386,1,0
"167",24,"16",71.5549,-80.3386,1,0
"168",24,"17",71.5549,-80.3386,1,0
"169",24,"18",71.5549,-80.3386,1,0
"170",24,"19",71.5549,-80.3386,1,0
"171",24,"20",71.5549,-80.3386,1,0
"172",25,"12",71.7369,-80.3271,0,1
"173",25,"13",71.7369,-80.3271,-Inf,-Inf
"174",25,"14",71.7369,-80.3271,1,0
"175",25,"15",71.7369,-80.3271,0,0
"176",25,"16",71.7369,-80.3271,0,0
"177",25,"17",71.7369,-80.3271,0,0
"178",25,"18",71.7369,-80.3271,1,0
"179",25,"19",71.7369,-80.3271,0,0
"180",25,"20",71.7369,-80.3271,0,0
"181",26,"12",71.5088,-80.3042,0,1
"182",26,"13",71.5088,-80.3042,0,0
"183",26,"14",71.5088,-80.3042,0,0
"184",26,"15",71.5088,-80.3042,0,0
"185",26,"16",71.5088,-80.3042,0,0
"186",26,"17",71.5088,-80.3042,0,0
"187",26,"18",71.5088,-80.3042,0,0
"188",26,"19",71.5088,-80.3042,1,0
"189",26,"20",71.5088,-80.3042,0,0
"190",27,"12",71.7226,-80.2873,0,0
"191",27,"13",71.7226,-80.2873,-Inf,-Inf
"192",27,"14",71.7226,-80.2873,0,0
"193",27,"15",71.7226,-80.2873,0,0
"194",27,"16",71.7226,-80.2873,0,0
"195",27,"17",71.7226,-80.2873,0,0
"196",27,"18",71.7226,-80.2873,0,0
"197",27,"19",71.7226,-80.2873,0,0
"198",27,"20",71.7226,-80.2873,0,0
"199",28,"12",71.4765,-80.2676,0,1
"200",28,"13",71.4765,-80.2676,1,0
"201",28,"14",71.4765,-80.2676,1,0
"202",28,"15",71.4765,-80.2676,1,0
"203",28,"16",71.4765,-80.2676,1,0
"204",28,"17",71.4765,-80.2676,1,0
"205",28,"18",71.4765,-80.2676,1,0
"206",28,"19",71.4765,-80.2676,0,0
"207",28,"20",71.4765,-80.2676,1,0
"208",30,"12",71.7112,-80.2472,0,1
"209",30,"13",71.7112,-80.2472,-Inf,-Inf
"210",30,"14",71.7112,-80.2472,0,0
"211",30,"15",71.7112,-80.2472,0,0
"212",30,"16",71.7112,-80.2472,0,0
"213",30,"17",71.7112,-80.2472,0,0
"214",30,"18",71.7112,-80.2472,0,0
"215",30,"19",71.7112,-80.2472,0,0
"216",30,"20",71.7112,-80.2472,1,0
"217",32,"12",71.391,-80.2381,-Inf,-Inf
"218",32,"13",71.391,-80.2381,-Inf,-Inf
"219",32,"14",71.391,-80.2381,-Inf,-Inf
"220",32,"15",71.391,-80.2381,-Inf,-Inf
"221",32,"16",71.391,-80.2381,-Inf,-Inf
"222",32,"17",71.391,-80.2381,-Inf,-Inf
"223",32,"18",71.391,-80.2381,-Inf,-Inf
"224",32,"19",71.391,-80.2381,-Inf,-Inf
"225",32,"20",71.391,-80.2381,0,1
"226",33,"12",71.4522,-80.2294,1,0
"227",33,"13",71.4522,-80.2294,1,0
"228",33,"14",71.4522,-80.2294,1,0
"229",33,"15",71.4522,-80.2294,1,0
"230",33,"16",71.4522,-80.2294,1,0
"231",33,"17",71.4522,-80.2294,1,0
"232",33,"18",71.4522,-80.2294,1,0
"233",33,"19",71.4522,-80.2294,1,0
"234",33,"20",71.4522,-80.2294,0,0
"235",34,"12",71.7048,-80.2042,0,0
"236",34,"13",71.7048,-80.2042,-Inf,-Inf
"237",34,"14",71.7048,-80.2042,0,1
"238",34,"15",71.7048,-80.2042,1,0
"239",34,"16",71.7048,-80.2042,1,0
"240",34,"17",71.7048,-80.2042,1,0
"241",34,"18",71.7048,-80.2042,0,0
"242",34,"19",71.7048,-80.2042,0,0
"243",34,"20",71.7048,-80.2042,0,0
"244",35,"12",71.7038,-80.1955,0,0
"245",35,"13",71.7038,-80.1955,-Inf,-Inf
"246",35,"14",71.7038,-80.1955,1,0
"247",35,"15",71.7038,-80.1955,0,0
"248",35,"16",71.7038,-80.1955,0,0
"249",35,"17",71.7038,-80.1955,0,0
"250",35,"18",71.7038,-80.1955,0,0
"251",35,"19",71.7038,-80.1955,0,0
"252",35,"20",71.7038,-80.1955,0,0
"253",40,"12",71.3882,-80.1527,1,0
"254",40,"13",71.3882,-80.1527,1,0
"255",40,"14",71.3882,-80.1527,1,0
"256",40,"15",71.3882,-80.1527,1,0
"257",40,"16",71.3882,-80.1527,1,0
"258",40,"17",71.3882,-80.1527,1,0
"259",40,"18",71.3882,-80.1527,0,0
"260",40,"19",71.3882,-80.1527,0,0
"261",40,"20",71.3882,-80.1527,1,0
"262",41,"12",71.3875,-80.1483,0,0
"263",41,"13",71.3875,-80.1483,0,0
"264",41,"14",71.3875,-80.1483,0,0
"265",41,"15",71.3875,-80.1483,0,1
"266",41,"16",71.3875,-80.1483,0,0
"267",41,"17",71.3875,-80.1483,0,0
"268",41,"18",71.3875,-80.1483,0,0
"269",41,"19",71.3875,-80.1483,0,0
"270",41,"20",71.3875,-80.1483,0,0
"271",43,"12",71.2862,-80.0018,1,0
"272",43,"13",71.2862,-80.0018,0,0
"273",43,"14",71.2862,-80.0018,0,0
"274",43,"15",71.2862,-80.0018,0,0
"275",43,"16",71.2862,-80.0018,0,0
"276",43,"17",71.2862,-80.0018,0,0
"277",43,"18",71.2862,-80.0018,0,0
"278",43,"19",71.2862,-80.0018,0,0
"279",43,"20",71.2862,-80.0018,0,1
"280",46,"12",71.3825,-79.9647,0,1
"281",46,"13",71.3825,-79.9647,0,0
"282",46,"14",71.3825,-79.9647,0,0
"283",46,"15",71.3825,-79.9647,0,1
"284",46,"16",71.3825,-79.9647,0,1
"285",46,"17",71.3825,-79.9647,0,0
"286",46,"18",71.3825,-79.9647,1,0
"287",46,"19",71.3825,-79.9647,0,0
"288",46,"20",71.3825,-79.9647,0,1
"289",48,"12",71.2978,-79.9221,0,1
"290",48,"13",71.2978,-79.9221,0,0
"291",48,"14",71.2978,-79.9221,0,0
"292",48,"15",71.2978,-79.9221,0,0
"293",48,"16",71.2978,-79.9221,0,0
"294",48,"17",71.2978,-79.9221,0,0
"295",48,"18",71.2978,-79.9221,0,0
"296",48,"19",71.2978,-79.9221,0,0
"297",48,"20",71.2978,-79.9221,0,0
"298",49,"12",71.2964,-79.9196,1,0
"299",49,"13",71.2964,-79.9196,1,0
"300",49,"14",71.2964,-79.9196,1,0
"301",49,"15",71.2964,-79.9196,1,0
"302",49,"16",71.2964,-79.9196,1,0
"303",49,"17",71.2964,-79.9196,1,0
"304",49,"18",71.2964,-79.9196,0,0
"305",49,"19",71.2964,-79.9196,0,0
"306",49,"20",71.2964,-79.9196,0,0
"307",50,"12",71.458,-79.8961,0,1
"308",50,"13",71.458,-79.8961,0,0
"309",50,"14",71.458,-79.8961,1,0
"310",50,"15",71.458,-79.8961,1,0
"311",50,"16",71.458,-79.8961,0,0
"312",50,"17",71.458,-79.8961,1,0
"313",50,"18",71.458,-79.8961,0,0
"314",50,"19",71.458,-79.8961,0,0
"315",50,"20",71.458,-79.8961,0,0
"316",51,"12",71.2947,-79.9039,0,1
"317",51,"13",71.2947,-79.9039,0,0
"318",51,"14",71.2947,-79.9039,0,0
"319",51,"15",71.2947,-79.9039,0,1
"320",51,"16",71.2947,-79.9039,0,0
"321",51,"17",71.2947,-79.9039,0,0
"322",51,"18",71.2947,-79.9039,0,0
"323",51,"19",71.2947,-79.9039,0,0
"324",51,"20",71.2947,-79.9039,0,1
"325",52,"12",71.4389,-79.8944,-Inf,-Inf
"326",52,"13",71.4389,-79.8944,-Inf,-Inf
"327",52,"14",71.4389,-79.8944,-Inf,-Inf
"328",52,"15",71.4389,-79.8944,-Inf,-Inf
"329",52,"16",71.4389,-79.8944,-Inf,-Inf
"330",52,"17",71.4389,-79.8944,-Inf,-Inf
"331",52,"18",71.4389,-79.8944,-Inf,-Inf
"332",52,"19",71.4389,-79.8944,-Inf,-Inf
"333",52,"20",71.4389,-79.8944,0,0
"334",53,"12",71.415,-79.8918,-Inf,-Inf
"335",53,"13",71.415,-79.8918,1,0
"336",53,"14",71.415,-79.8918,1,0
"337",53,"15",71.415,-79.8918,0,0
"338",53,"16",71.415,-79.8918,0,0
"339",53,"17",71.415,-79.8918,0,0
"340",53,"18",71.415,-79.8918,0,0
"341",53,"19",71.415,-79.8918,0,0
"342",53,"20",71.415,-79.8918,0,0
"343",54,"12",71.3492,-79.8631,0,1
"344",54,"13",71.3492,-79.8631,0,0
"345",54,"14",71.3492,-79.8631,0,1
"346",54,"15",71.3492,-79.8631,0,0
"347",54,"16",71.3492,-79.8631,0,0
"348",54,"17",71.3492,-79.8631,0,0
"349",54,"18",71.3492,-79.8631,0,1
"350",54,"19",71.3492,-79.8631,0,0
"351",54,"20",71.3492,-79.8631,0,0
"352",55,"12",71.3436,-79.8538,1,0
"353",55,"13",71.3436,-79.8538,1,0
"354",55,"14",71.3436,-79.8538,1,0
"355",55,"15",71.3436,-79.8538,1,0
"356",55,"16",71.3436,-79.8538,1,0
"357",55,"17",71.3436,-79.8538,0,0
"358",55,"18",71.3436,-79.8538,1,0
"359",55,"19",71.3436,-79.8538,1,0
"360",55,"20",71.3436,-79.8538,0,0
"361",56,"12",71.2211,-79.8042,0,0
"362",56,"13",71.2211,-79.8042,0,0
"363",56,"14",71.2211,-79.8042,0,0
"364",56,"15",71.2211,-79.8042,0,0
"365",56,"16",71.2211,-79.8042,-Inf,-Inf
"366",56,"17",71.2211,-79.8042,0,0
"367",56,"18",71.2211,-79.8042,0,1
"368",56,"19",71.2211,-79.8042,0,0
"369",56,"20",71.2211,-79.8042,0,1
"370",57,"12",71.2207,-79.7977,0,0
"371",57,"13",71.2207,-79.7977,0,0
"372",57,"14",71.2207,-79.7977,0,0
"373",57,"15",71.2207,-79.7977,0,1
"374",57,"16",71.2207,-79.7977,-Inf,-Inf
"375",57,"17",71.2207,-79.7977,0,0
"376",57,"18",71.2207,-79.7977,-Inf,-Inf
"377",57,"19",71.2207,-79.7977,0,0
"378",57,"20",71.2207,-79.7977,0,0
"379",58,"12",71.2447,-79.8005,0,1
"380",58,"13",71.2447,-79.8005,0,0
"381",58,"14",71.2447,-79.8005,0,0
"382",58,"15",71.2447,-79.8005,0,0
"383",58,"16",71.2447,-79.8005,-Inf,-Inf
"384",58,"17",71.2447,-79.8005,0,0
"385",58,"18",71.2447,-79.8005,0,0
"386",58,"19",71.2447,-79.8005,0,0
"387",58,"20",71.2447,-79.8005,0,0
"388",59,"12",71.219,-79.7919,1,0
"389",59,"13",71.219,-79.7919,1,0
"390",59,"14",71.219,-79.7919,1,0
"391",59,"15",71.219,-79.7919,1,0
"392",59,"16",71.219,-79.7919,-Inf,-Inf
"393",59,"17",71.219,-79.7919,1,0
"394",59,"18",71.219,-79.7919,1,0
"395",59,"19",71.219,-79.7919,1,0
"396",59,"20",71.219,-79.7919,1,0
"397",61,"12",71.3562,-79.7641,0,0
"398",61,"13",71.3562,-79.7641,0,0
"399",61,"14",71.3562,-79.7641,0,1
"400",61,"15",71.3562,-79.7641,0,1
"401",61,"16",71.3562,-79.7641,0,0
"402",61,"17",71.3562,-79.7641,1,0
"403",61,"18",71.3562,-79.7641,0,0
"404",61,"19",71.3562,-79.7641,0,0
"405",61,"20",71.3562,-79.7641,0,0
"406",62,"12",71.4698,-79.7558,0,1
"407",62,"13",71.4698,-79.7558,0,0
"408",62,"14",71.4698,-79.7558,1,0
"409",62,"15",71.4698,-79.7558,0,0
"410",62,"16",71.4698,-79.7558,1,0
"411",62,"17",71.4698,-79.7558,1,0
"412",62,"18",71.4698,-79.7558,0,0
"413",62,"19",71.4698,-79.7558,0,0
"414",62,"20",71.4698,-79.7558,1,0
"415",63,"12",71.4707,-79.7455,1,0
"416",63,"13",71.4707,-79.7455,0,0
"417",63,"14",71.4707,-79.7455,0,0
"418",63,"15",71.4707,-79.7455,0,0
"419",63,"16",71.4707,-79.7455,0,0
"420",63,"17",71.4707,-79.7455,0,0
"421",63,"18",71.4707,-79.7455,1,0
"422",63,"19",71.4707,-79.7455,1,0
"423",63,"20",71.4707,-79.7455,0,0
"424",64,"12",71.3982,-79.7033,0,1
"425",64,"13",71.3982,-79.7033,0,0
"426",64,"14",71.3982,-79.7033,0,0
"427",64,"15",71.3982,-79.7033,0,0
"428",64,"16",71.3982,-79.7033,0,1
"429",64,"17",71.3982,-79.7033,0,0
"430",64,"18",71.3982,-79.7033,0,0
"431",64,"19",71.3982,-79.7033,0,0
"432",64,"20",71.3982,-79.7033,0,0
"433",65,"12",71.4564,-79.7205,0,0
"434",65,"13",71.4564,-79.7205,0,0
"435",65,"14",71.4564,-79.7205,0,1
"436",65,"15",71.4564,-79.7205,0,0
"437",65,"16",71.4564,-79.7205,0,0
"438",65,"17",71.4564,-79.7205,0,0
"439",65,"18",71.4564,-79.7205,0,0
"440",65,"19",71.4564,-79.7205,0,0
"441",65,"20",71.4564,-79.7205,0,1
"442",66,"12",71.3441,-79.7168,0,0
"443",66,"13",71.3441,-79.7168,0,0
"444",66,"14",71.3441,-79.7168,0,1
"445",66,"15",71.3441,-79.7168,0,0
"446",66,"16",71.3441,-79.7168,0,1
"447",66,"17",71.3441,-79.7168,0,0
"448",66,"18",71.3441,-79.7168,0,0
"449",66,"19",71.3441,-79.7168,0,0
"450",66,"20",71.3441,-79.7168,0,1
"451",68,"12",71.3776,-79.7084,1,0
"452",68,"13",71.3776,-79.7084,1,0
"453",68,"14",71.3776,-79.7084,1,0
"454",68,"15",71.3776,-79.7084,1,0
"455",68,"16",71.3776,-79.7084,1,0
"456",68,"17",71.3776,-79.7084,1,0
"457",68,"18",71.3776,-79.7084,1,0
"458",68,"19",71.3776,-79.7084,0,0
"459",68,"20",71.3776,-79.7084,0,0
"460",69,"12",71.4111,-79.7058,0,0
"461",69,"13",71.4111,-79.7058,1,0
"462",69,"14",71.4111,-79.7058,1,0
"463",69,"15",71.4111,-79.7058,1,0
"464",69,"16",71.4111,-79.7058,1,0
"465",69,"17",71.4111,-79.7058,1,0
"466",69,"18",71.4111,-79.7058,1,0
"467",69,"19",71.4111,-79.7058,1,0
"468",69,"20",71.4111,-79.7058,0,1
"469",70,"12",71.4658,-79.6706,0,1
"470",70,"13",71.4658,-79.6706,1,0
"471",70,"14",71.4658,-79.6706,0,0
"472",70,"15",71.4658,-79.6706,0,1
"473",70,"16",71.4658,-79.6706,-Inf,-Inf
"474",70,"17",71.4658,-79.6706,0,0
"475",70,"18",71.4658,-79.6706,0,1
"476",70,"19",71.4658,-79.6706,0,0
"477",70,"20",71.4658,-79.6706,0,1
"478",71,"12",71.1756,-79.6665,1,0
"479",71,"13",71.1756,-79.6665,1,0
"480",71,"14",71.1756,-79.6665,1,0
"481",71,"15",71.1756,-79.6665,1,0
"482",71,"16",71.1756,-79.6665,1,0
"483",71,"17",71.1756,-79.6665,1,0
"484",71,"18",71.1756,-79.6665,1,0
"485",71,"19",71.1756,-79.6665,1,0
"486",71,"20",71.1756,-79.6665,1,0
"487",72,"12",71.1779,-79.666,0,1
"488",72,"13",71.1779,-79.666,0,0
"489",72,"14",71.1779,-79.666,0,0
"490",72,"15",71.1779,-79.666,0,1
"491",72,"16",71.1779,-79.666,0,1
"492",72,"17",71.1779,-79.666,0,0
"493",72,"18",71.1779,-79.666,0,0
"494",72,"19",71.1779,-79.666,0,1
"495",72,"20",71.1779,-79.666,0,1
"496",73,"12",71.3608,-79.6373,-Inf,-Inf
"497",73,"13",71.3608,-79.6373,-Inf,-Inf
"498",73,"14",71.3608,-79.6373,-Inf,-Inf
"499",73,"15",71.3608,-79.6373,-Inf,-Inf
"500",73,"16",71.3608,-79.6373,-Inf,-Inf
"501",73,"17",71.3608,-79.6373,-Inf,-Inf
"502",73,"18",71.3608,-79.6373,-Inf,-Inf
"503",73,"19",71.3608,-79.6373,-Inf,-Inf
"504",73,"20",71.3608,-79.6373,0,0
"505",74,"12",71.3218,-80.195,-Inf,-Inf
"506",74,"13",71.3218,-80.195,-Inf,-Inf
"507",74,"14",71.3218,-80.195,-Inf,-Inf
"508",74,"15",71.3218,-80.195,0,0
"509",74,"16",71.3218,-80.195,1,0
"510",74,"17",71.3218,-80.195,1,0
"511",74,"18",71.3218,-80.195,1,0
"512",74,"19",71.3218,-80.195,0,0
"513",74,"20",71.3218,-80.195,0,0
"514",75,"12",71.3616,-79.6362,1,0
"515",75,"13",71.3616,-79.6362,1,0
"516",75,"14",71.3616,-79.6362,1,0
"517",75,"15",71.3616,-79.6362,1,0
"518",75,"16",71.3616,-79.6362,1,0
"519",75,"17",71.3616,-79.6362,1,0
"520",75,"18",71.3616,-79.6362,0,0
"521",75,"19",71.3616,-79.6362,0,0
"522",75,"20",71.3616,-79.6362,0,1
"523",80,"12",71.4476,-79.5701,0,1
"524",80,"13",71.4476,-79.5701,1,0
"525",80,"14",71.4476,-79.5701,0,1
"526",80,"15",71.4476,-79.5701,1,0
"527",80,"16",71.4476,-79.5701,1,0
"528",80,"17",71.4476,-79.5701,1,0
"529",80,"18",71.4476,-79.5701,1,0
"530",80,"19",71.4476,-79.5701,0,0
"531",80,"20",71.4476,-79.5701,1,0
"532",81,"12",71.399,-79.5737,1,0
"533",81,"13",71.399,-79.5737,1,0
"534",81,"14",71.399,-79.5737,1,0
"535",81,"15",71.399,-79.5737,1,0
"536",81,"16",71.399,-79.5737,1,0
"537",81,"17",71.399,-79.5737,0,0
"538",81,"18",71.399,-79.5737,0,0
"539",81,"19",71.399,-79.5737,1,0
"540",81,"20",71.399,-79.5737,1,0
"541",82,"12",71.3327,-79.5619,1,0
"542",82,"13",71.3327,-79.5619,0,0
"543",82,"14",71.3327,-79.5619,1,0
"544",82,"15",71.3327,-79.5619,1,0
"545",82,"16",71.3327,-79.5619,1,0
"546",82,"17",71.3327,-79.5619,1,0
"547",82,"18",71.3327,-79.5619,0,0
"548",82,"19",71.3327,-79.5619,1,0
"549",82,"20",71.3327,-79.5619,1,0
